Word	POS	NEG
order	46	0
headache	4	0
see	144	46
the	3144	848
probably	14	0
barely	5	10
desk	14	0
the	3144	1199
annoying	27	0
great	204	0
just	183	0
the	3144	0
the	3144	1511
star	64	0
wish	19	2
dark	71	3
and	1484	116
the	3144	740
fun	13	3
adjustable	15	0
let	17	0
dark	71	0
set	282	0
dim	24	4
switch	47	5
hearing	9	0
florida	1	0
employ	2	0
that	642	0
faint	0	1
flip	4	0
can	296	0
solar	14	0
easy	241	0
stronger	2	0
soother	7	17
all	157	35
tuner	0	8
this	845	0
which	145	0
very	273	0
notify	1	0
very	273	98
not	680	297
clock	1098	0
barely	0	7
keep	71	24
day	85	13
best	49	0
and	1484	485
arrive	15	1
time	500	0
might	24	5
and	1484	0
would	206	0
gracefully	1	0
sleeper	47	0
very	273	32
from	136	52
trooper	8	0
complex	3	1
not	680	0
star	64	5
look	133	8
baggage	2	0
the	3144	0
during	18	12
clock	1098	21
function	36	0
lcd	20	0
between	17	0
get	222	83
that	642	145
day	85	29
nap	29	0
thing	69	0
radio	99	32
automatically	26	5
clean	3	0
before	35	10
week	29	4
its	81	15
outside	4	0
wonderful	15	1
immediately	4	4
like	247	0
compatible	1	0
hour	54	16
return	0	47
clock	1098	527
new	39	20
later	12	0
the	3144	0
through	42	0
the	3144	1440
the	3144	1480
for	807	28
blast	4	0
finally	23	0
and	1484	0
difficult	15	10
the	3144	0
old	71	0
arrive	15	10
the	3144	888
you	682	58
bright	85	0
all	157	0
manufacturer	6	3
they	178	0
allow	16	0
trail	2	0
for	807	26
boat	1	0
machine	27	0
problem	72	0
you	682	242
heart	11	0
the	3144	1631
one	315	0
and	1484	482
find	122	0
have	946	0
wake	237	0
delay	4	0
attend	1	0
the	3144	1145
the	3144	1024
fan	23	0
january	1	0
not	680	0
person	11	4
this	845	332
right	50	27
accept	0	1
from	136	30
hold	17	6
lrb	291	0
the	3144	211
consider	12	0
stop	7	40
need	124	0
month	0	8
helpful	7	4
only	186	0
answer	0	1
barely	0	7
however	50	0
those	29	0
look	133	14
bed	59	0
sit	19	0
sleep	116	0
frequency	3	8
cell	12	0
but	349	0
rrb	335	80
perfect	69	0
all	157	0
alarm	830	210
the	3144	1031
for	807	127
product	86	81
clock	1098	203
would	206	114
when	235	0
enough	98	2
junk	0	24
effective	7	0
weird	4	0
have	946	0
until	20	14
worth	16	4
sing	2	0
and	1484	367
night	134	17
clock	1098	9
bismol	1	0
easily	54	0
pleased	14	0
the	3144	0
have	946	0
the	3144	34
they	178	0
power	75	0
money	0	13
extra	16	0
half	15	0
font	3	0
need	124	0
light	263	0
value	10	0
this	845	135
sometimes	17	7
about	121	22
far	50	0
not	680	438
state	8	0
brightness	29	0
until	20	0
you	682	158
when	235	0
purchase	85	0
figure	20	6
the	3144	1270
all	157	0
hand	39	5
button	166	56
waste	0	16
the	3144	459
knock	10	1
star	64	0
much	73	0
minute	90	18
sound	249	146
that	642	0
the	3144	1240
the	3144	693
clock	1098	141
battery	180	0
instruments	0	2
quite	26	2
interest	2	0
take	71	15
good	161	0
with	392	0
power	75	0
and	1484	325
alarm	830	0
dial	32	0
not	680	45
this	845	262
sticker	0	2
love	166	0
over	63	0
husband	29	0
temperature	20	0
refund	0	9
other	130	0
would	206	51
need	124	0
alarm	830	164
rrb	335	0
make	153	76
clock	1098	338
have	946	0
keep	71	27
alarm	830	46
attempt	0	2
waste	0	16
not	680	185
the	3144	0
source	1	1
handle	6	0
she	147	0
accidentally	10	0
wake	237	66
the	3144	1058
for	807	0
just	183	5
most	41	5
son	28	0
need	124	0
over	63	0
have	946	244
clock	1098	0
start	30	0
sharper	9	5
photoland	0	3
this	845	399
about	121	13
attaachman	1	0
next	23	6
another	66	0
parent	3	0
loud	108	0
numeral	9	0
most	41	6
bright	85	0
the	3144	0
inconvenience	1	3
off	188	0
this	845	0
have	946	0
from	136	73
just	183	59
check	21	0
but	349	151
response	1	1
which	145	0
when	235	0
power	75	0
switch	47	0
try	39	16
alarm	830	0
two	77	0
wish	19	12
nap	29	0
more	117	0
old	71	6
purpose	13	7
husband	29	0
morning	66	0
night	134	0
just	183	22
mention	10	3
nah	1	0
nudge	3	0
come	58	16
out	146	46
accommodate	1	1
this	845	301
hard	36	9
the	3144	368
this	845	386
and	1484	90
luggage	6	0
electronics	0	3
long	32	0
very	273	0
gauze	0	1
and	1484	0
well	106	0
out	146	54
for	807	0
work	206	39
asia	1	0
draw	4	2
make	153	81
change	69	0
and	1484	0
long	32	8
she	147	0
and	1484	0
find	122	0
work	206	41
alarm	830	78
another	66	3
the	3144	0
have	946	0
will	121	28
plastic	24	0
alarm	830	0
sleep	116	37
the	3144	0
buy	167	64
much	73	5
that	642	34
very	273	0
all	157	74
living	7	0
fore	1	0
mentally	2	0
with	392	0
blush	1	0
larger	11	0
too	119	0
pink	18	0
twice	12	3
wake	237	0
make	153	45
month	39	30
piece	0	6
louder	20	0
attractive	10	0
work	206	55
the	3144	0
long	32	11
issue	15	3
the	3144	0
and	1484	0
much	73	13
how	51	0
general	4	0
work	206	0
before	35	21
timer	13	0
until	20	3
not	680	0
machine	27	10
see	144	0
short	18	12
model	24	0
week	29	22
you	682	0
real	19	0
however	50	0
although	14	6
one	315	1
too	119	3
the	3144	553
lrb	291	27
for	807	0
like	247	0
this	845	0
glow	20	0
turn	111	0
like	247	0
finally	23	4
lrb	291	29
read	121	0
interfere	2	0
one	315	0
separate	11	0
but	349	21
but	349	0
rrb	335	104
mountain	0	1
muffle	1	2
than	108	0
light	263	152
work	206	97
something	41	16
and	1484	0
catch	5	0
battery	180	0
highly	33	1
athlete	0	1
see	144	65
sure	35	0
not	680	288
alarm	830	0
rrb	335	0
problem	72	0
resolve	1	1
find	122	0
old	71	0
until	20	0
clock	1098	0
have	946	66
not	680	159
con	15	0
all	157	0
stop	0	36
make	153	51
clock	1098	297
most	41	0
this	845	0
alarm	830	31
she	147	0
elegant	2	0
and	1484	0
next	23	12
although	14	0
play	13	18
well	106	0
why	15	11
light	263	0
clock	1098	371
for	807	0
failure	6	0
amazon	31	33
make	153	57
less	23	8
failure	6	0
have	946	0
good	161	0
daughter	23	0
assemble	0	1
vibration	11	0
minute	90	10
certain	7	0
this	845	0
help	24	0
press	39	5
controlled	2	0
easy	241	0
that	642	0
make	153	80
work	206	138
snooze	121	0
wars	21	0
scarey	1	0
battery	180	0
trip	19	7
independently	2	0
battery	180	0
amazon	31	11
have	946	0
either	13	0
start	30	17
for	807	0
exactly	29	5
hour	54	0
out	146	0
download	1	0
she	147	0
clock	1098	425
than	108	22
could	72	39
macular	1	0
during	18	7
night	134	34
drain	2	2
large	67	11
screen	16	0
amazon	31	28
great	204	0
literally	6	2
get	222	104
alarm	830	0
clock	1098	0
squeeze	1	0
for	807	269
surf	4	3
earlier	5	0
and	1484	0
and	1484	0
the	3144	0
away	21	3
one	315	119
the	3144	1586
approximately	3	0
like	247	77
six	4	4
alarm	830	0
operate	19	0
thoose	1	0
keep	71	19
the	3144	0
many	46	0
too	119	0
flash	32	0
set	282	53
the	3144	0
harass	1	0
the	3144	232
down	45	0
and	1484	566
lrb	291	65
couple	22	0
good	161	0
reliable	18	1
set	282	0
would	206	0
nursing	2	0
picky	4	0
when	235	99
lrb	291	78
and	1484	212
set	282	0
drawback	6	0
good	161	0
the	3144	1258
timex	18	0
oversleep	6	0
overall	23	0
alarm	830	289
happy	37	0
but	349	69
compare	9	2
clue	1	0
colon	9	0
the	3144	0
want	111	10
alarm	830	53
that	642	57
march	0	1
and	1484	0
and	1484	36
table	13	3
look	133	67
the	3144	716
this	845	0
follow	8	0
describe	10	0
one	315	38
friend	19	0
disappoint	0	7
indiglo	11	7
time	500	0
digital	43	23
make	153	36
clock	1098	0
wake	237	0
fine	46	18
walk	8	0
with	392	0
with	392	0
the	3144	1576
minute	90	0
these	55	0
alarm	830	0
off	188	48
right	50	2
button	166	61
minute	90	57
psychic	1	0
for	807	0
she	147	0
when	235	37
she	147	0
the	3144	0
highest	3	0
about	121	0
cleary	0	1
tad	1	0
moreover	1	0
and	1484	0
rrb	335	83
alarm	830	114
refusal	1	0
durable	12	0
alarm	830	181
this	845	0
need	124	33
base	14	5
travel	131	0
fun	13	0
the	3144	914
minute	90	0
use	278	0
see	144	15
feeble	0	2
satisfy	6	0
again	44	28
button	166	10
hear	43	21
click	9	0
great	204	0
grand	2	0
minute	90	0
even	88	35
work	206	50
the	3144	1259
and	1484	153
buy	167	38
electricity	4	0
hourly	2	0
night	134	0
for	807	262
power	75	14
sure	35	0
always	29	0
have	946	0
the	3144	798
intuitive	7	0
and	1484	0
not	680	29
slide	13	0
way	40	5
even	88	0
easily	54	4
weather	9	0
night	134	0
tired	4	0
the	3144	0
base	14	3
really	106	0
different	53	0
but	349	0
wake	237	0
the	3144	598
the	3144	1421
the	3144	1679
table	13	5
look	133	0
truly	4	0
time	500	231
almost	20	9
yet	29	2
curve	1	0
for	807	0
like	247	0
light	263	46
read	121	0
clock	1098	0
set	282	0
warranty	0	4
not	680	393
can	296	0
rechargeable	1	0
can	296	0
comparison	1	1
from	136	0
inexpensive	7	0
tide	3	0
take	71	0
because	76	0
good	161	40
timex	18	5
folding	3	0
lover	1	0
and	1484	0
have	946	173
two	77	12
can	296	0
turn	111	0
wake	237	0
the	3144	0
for	807	0
something	41	11
have	946	0
minute	90	0
one	315	111
the	3144	320
not	680	439
indicator	0	2
have	946	253
and	1484	366
you	682	0
after	82	20
set	282	0
have	946	0
cord	8	3
fine	46	0
the	3144	402
that	642	0
individual	4	0
etc	25	0
for	807	325
cheaply	2	12
steam	2	0
took	0	1
cheated	0	1
slip	0	1
affordable	5	0
problem	72	0
must	17	4
cheap	0	27
surprisingly	2	0
real	19	0
for	807	259
second	28	31
and	1484	0
have	946	357
memorize	0	1
skewed	0	1
some	74	25
open	15	6
button	166	0
live	20	0
use	278	85
old	71	0
for	807	0
low	22	2
stage	2	0
make	153	0
some	74	0
very	273	0
bout	1	1
fine	46	0
what	124	0
look	133	81
yellow	5	1
and	1484	0
pink	18	0
you	682	266
plenty	8	0
have	946	0
and	1484	298
small	93	0
the	3144	0
without	52	21
over	63	0
two	77	0
note	11	0
display	151	0
the	3144	0
after	82	0
very	273	0
stay	11	6
level	14	7
unit	18	7
volt	5	0
year	146	10
brother	3	0
when	235	21
you	682	153
biggest	0	4
the	3144	0
when	235	51
like	247	2
uselessly	0	1
day	85	0
purchase	85	38
have	946	0
daughter	23	0
turn	111	0
year	146	0
three	25	0
travel	131	0
travel	131	0
from	136	0
shipping	11	6
alarm	830	47
find	122	0
classic	5	0
the	3144	364
name	6	6
sweetheart	5	0
adjustable	15	1
the	3144	1415
there	117	0
the	3144	0
its	81	29
the	3144	0
elderly	5	0
adjustment	6	0
glass	23	0
and	1484	443
several	33	1
two	77	10
excite	1	4
promptly	2	1
journey	1	0
few	51	31
use	278	80
lrb	291	113
right	50	0
the	3144	1072
digit	9	0
distinct	5	0
two	77	0
paint	1	1
large	67	0
reconsider	1	0
the	3144	0
wear	9	0
not	680	0
display	151	0
have	946	0
the	3144	0
family	10	0
anyone	25	0
very	273	0
work	206	143
not	680	278
reviewer	22	0
factory	6	0
feature	117	21
elgin	18	0
clock	1098	0
problem	72	0
enough	98	0
for	807	272
the	3144	0
clock	1098	132
they	178	0
that	642	94
product	86	29
and	1484	0
manual	11	13
dual	7	3
the	3144	788
soother	7	13
and	1484	0
and	1484	0
any	61	27
often	17	0
keep	71	0
backlight	22	3
wake	237	0
love	166	0
rrb	335	0
very	273	0
other	130	0
the	3144	0
bit	39	0
have	946	2
about	121	31
the	3144	513
wait	9	2
you	682	125
alarm	830	57
like	247	55
gradually	3	1
hold	17	3
beep	27	0
with	392	0
you	682	0
addition	6	6
nicely	6	0
concern	10	0
you	682	0
just	183	0
tell	28	0
the	3144	48
display	151	0
clock	1098	0
worth	16	3
figure	20	0
junk	0	24
the	3144	655
purse	2	0
slide	13	0
the	3144	1004
receive	28	15
few	51	2
and	1484	0
the	3144	863
common	5	0
war	11	0
only	186	0
thunderstorm	6	0
this	845	0
and	1484	398
very	273	0
just	183	66
seperate	3	0
this	845	3
alarm	830	0
cranky	2	0
display	151	16
side	30	0
read	121	0
that	642	216
its	81	11
too	119	0
tuner	0	8
drown	3	0
clock	1098	263
under	24	0
this	845	0
the	3144	0
help	24	0
turn	111	27
break	15	4
hear	43	6
perfectly	19	0
one	315	55
morning	66	0
have	946	115
bulb	0	3
rated	0	2
dead	4	3
accidentally	10	4
also	127	0
bigger	14	0
sound	249	0
think	68	23
the	3144	45
trip	19	0
the	3144	233
over	63	0
time	500	53
light	263	107
timex	18	0
also	127	0
pass	5	1
she	147	0
loud	108	25
ever	24	0
radio	99	48
off	188	0
back	98	70
the	3144	0
expect	24	5
while	39	0
clock	1098	0
but	349	0
alarm	830	180
impossible	5	5
will	121	0
the	3144	586
find	122	0
year	146	0
light	263	62
wish	19	14
four	10	5
the	3144	1069
the	3144	0
set	282	0
say	76	18
which	145	34
display	151	0
better	41	27
have	946	323
they	178	3
clock	1098	0
its	81	10
let	17	0
the	3144	881
house	23	0
would	206	0
for	807	135
definitely	23	0
light	263	0
lrb	291	45
dim	24	6
spotlight	1	0
click	9	1
loud	108	0
need	124	27
fast	8	3
lrb	291	44
its	81	0
red	30	0
you	682	0
ago	24	4
easier	20	0
not	680	0
complaint	22	0
alarm	830	0
light	263	144
easily	54	0
cheap	23	32
after	82	1
flash	32	1
ever	24	10
horrible	7	3
for	807	0
setting	73	9
highly	33	0
solar	14	0
monster	0	1
fall	0	2
from	136	70
can	296	0
again	44	36
quiet	15	10
down	45	7
you	682	0
easily	54	0
set	282	72
wake	237	0
alarm	830	0
for	807	0
neutral	1	0
achieve	1	0
need	124	0
just	183	0
battery	180	0
back	98	56
alarm	830	0
fact	24	4
lrb	291	0
alarm	830	0
lite	4	0
too	119	23
asleep	15	10
the	3144	1197
have	946	338
not	680	52
alarm	830	0
island	1	0
alarm	830	76
functionality	8	0
idea	11	4
earplug	0	1
loss	2	1
time	500	194
great	204	1
alarm	830	0
loud	108	0
thrill	6	0
this	845	0
she	147	0
night	134	26
other	130	44
for	807	94
time	500	23
terrific	5	0
connection	2	0
was	0	1
for	807	98
action	1	0
the	3144	0
for	807	0
thing	69	12
sometimes	17	2
unfortunately	0	9
can	296	23
these	55	0
setting	73	0
like	247	0
clock	1098	167
bed	59	0
this	845	0
teen	2	0
the	3144	0
one	315	33
excited	2	0
off	188	66
rather	12	6
heavy	15	0
emit	4	0
factory	6	2
can	296	0
rrb	335	0
function	36	13
make	153	66
hit	26	5
process	2	4
after	82	0
actually	28	18
sound	249	56
soother	0	12
option	24	5
use	278	18
have	946	88
like	247	0
alarm	830	0
could	72	53
product	86	80
destination	3	0
its	81	0
think	68	0
let	17	5
make	153	38
have	946	0
happy	37	6
die	14	0
deteriorate	0	1
hear	43	0
display	151	0
alarm	830	0
without	52	0
sharp	1	2
door	5	1
would	206	49
then	57	11
take	71	13
clock	1098	279
overall	23	4
you	682	261
crow	1	1
clock	1098	0
disappoint	0	7
instant	1	0
wake	237	0
figure	20	0
love	166	0
the	3144	0
bed	59	0
breaking	1	0
alarm	830	296
alarm	830	0
have	946	241
and	1484	0
think	68	47
suck	0	3
year	146	24
device	7	3
hear	43	0
work	206	0
small	93	19
the	3144	0
most	41	18
romantic	1	0
order	46	19
carry	12	0
this	845	322
get	222	0
have	946	0
not	680	110
power	75	0
other	130	0
display	151	0
this	845	0
when	235	0
bullet	0	1
that	642	150
remake	1	0
alarm	830	0
standards	1	0
simple	63	0
time	500	0
resistant	1	0
good	161	0
husband	29	0
thrift	0	1
son	28	0
correctly	6	1
year	146	0
sound	249	0
take	71	7
what	124	17
time	500	0
for	807	6
have	946	0
set	282	85
the	3144	675
this	845	0
love	166	0
person	11	5
and	1484	0
clock	1098	0
radio	99	8
pay	8	17
for	807	261
clock	1098	0
fine	46	21
will	121	12
other	130	32
you	682	133
the	3144	142
inability	1	0
look	133	18
bag	2	0
product	86	53
maintain	4	0
agree	9	0
the	3144	0
the	3144	1053
surface	4	0
sure	35	12
small	93	7
redmond	1	0
battery	180	23
lightsaber	1	0
out	146	69
not	680	0
love	166	0
those	29	0
the	3144	794
design	36	10
alarm	830	0
readable	13	0
perfect	69	0
only	186	64
little	122	0
and	1484	126
the	3144	359
sleep	116	0
app	3	0
volume	55	0
not	680	157
keep	71	29
glass	23	0
till	3	0
day	85	10
break	0	2
how	51	0
morning	66	0
more	117	0
you	682	245
all	157	0
much	73	8
set	282	0
and	1484	489
life	9	2
get	222	11
read	121	0
change	69	26
need	124	0
easily	54	3
away	21	4
high	20	0
lowest	6	10
please	13	0
easily	54	0
hundred	4	0
easy	241	0
know	49	0
the	3144	30
there	117	0
you	682	0
glow	20	0
darkness	3	0
feature	117	0
bedside	22	0
for	807	233
for	807	0
vibration	11	0
seagull	7	0
the	3144	1497
harder	4	1
seconds	27	5
would	206	25
the	3144	0
color	40	0
speed	1	1
and	1484	0
and	1484	0
simulator	0	4
quality	30	30
star	64	0
sleep	116	0
time	500	229
awkward	0	1
never	36	1
button	166	15
under	24	0
one	315	0
title	1	1
since	53	0
momentary	1	0
make	153	0
friction	0	1
more	117	0
any	61	0
actually	28	5
france	1	0
not	680	120
not	680	306
intuitive	7	1
foreign	1	0
now	78	0
year	146	0
button	166	0
perfectly	19	0
problem	72	0
start	30	0
through	42	0
the	3144	271
reach	6	3
this	845	248
the	3144	99
definitely	23	0
wrong	9	8
fit	20	0
these	55	13
all	157	0
the	3144	433
lego	19	0
you	682	287
right	50	0
she	147	0
gradient	1	0
but	349	0
the	3144	0
the	3144	1340
edit	1	2
finally	23	1
who	86	0
little	122	0
elderly	5	0
for	807	0
not	680	0
alike	1	0
easy	241	0
she	147	3
use	278	0
have	946	125
who	86	0
the	3144	1688
she	147	0
hum	0	10
bit	39	10
read	121	8
the	3144	970
also	127	0
manually	10	0
the	3144	185
time	500	0
the	3144	952
function	36	0
know	49	12
the	3144	82
notice	0	4
any	61	0
the	3144	0
thus	3	0
the	3144	0
date	19	0
the	3144	0
smoother	1	0
that	642	0
that	642	270
early	11	0
something	41	0
background	7	2
the	3144	1003
doctor	7	0
the	3144	1109
some	74	0
forget	15	0
top	25	0
boot	2	0
only	186	47
but	349	131
the	3144	632
with	392	5
feature	117	0
time	500	158
for	807	0
local	6	0
any	61	1
sleep	116	0
like	247	0
lrb	291	0
out	146	9
use	278	0
dark	71	0
for	807	0
lifestyle	1	0
the	3144	1430
pacific	0	1
which	145	41
the	3144	0
numeral	9	0
vibrate	17	0
can	296	30
send	0	11
highly	33	0
frame	0	5
easy	241	0
retraction	1	0
america	3	0
the	3144	0
noise	32	17
desire	0	3
button	166	0
wall	15	0
larger	11	0
neighbor	7	0
relax	4	1
than	108	38
sometimes	17	0
button	166	0
wife	22	0
make	153	0
louder	20	9
live	20	9
rrb	335	113
sound	249	12
snooze	121	0
there	117	0
incorrect	4	0
this	845	0
just	183	58
lrb	291	0
wake	237	0
you	682	0
pop	5	0
have	946	229
rrb	335	16
and	1484	0
really	106	0
correct	28	0
make	153	0
the	3144	975
alarm	830	73
the	3144	0
click	9	0
travel	131	0
station	10	6
shipping	11	9
not	680	491
adjustment	6	0
for	807	295
lrb	291	0
clock	1098	51
have	946	0
feature	117	0
much	73	0
like	247	20
here	16	2
this	845	391
insta	4	0
review	48	12
buzzer	10	0
set	282	0
with	392	0
always	29	0
you	682	0
have	946	0
show	27	0
not	680	257
bone	2	0
lrb	291	101
farenheight	1	0
time	500	0
and	1484	546
with	392	138
the	3144	0
alarm	830	229
piece	13	16
the	3144	0
small	93	0
feature	117	37
month	39	19
the	3144	599
have	946	0
world	10	2
have	946	288
and	1484	295
just	183	31
form	2	1
clock	1098	0
also	127	7
ipad	1	0
hooked	1	0
the	3144	1194
until	20	8
and	1484	0
well	106	0
the	3144	613
very	273	0
and	1484	0
the	3144	992
have	946	0
setting	73	18
that	642	115
red	30	0
have	946	0
travel	131	26
off	188	0
plus	25	0
speaker	7	11
and	1484	34
ago	24	2
complaints	0	1
now	78	1
one	315	43
the	3144	0
sure	35	14
snooze	121	0
the	3144	0
enough	98	20
alarm	830	0
clock	1098	222
the	3144	1411
design	36	12
design	36	11
windchime	1	0
love	166	0
pretty	32	6
alarm	830	0
many	46	0
most	41	0
rrb	335	20
every	38	17
only	186	0
reset	31	15
singing	3	0
want	111	0
you	682	0
from	136	0
these	55	0
hum	0	10
correct	28	0
gadget	2	1
think	68	45
you	682	0
the	3144	574
alarm	830	0
different	53	0
have	946	0
lrb	291	57
atomic	39	0
what	124	0
use	278	0
reputable	1	1
lrb	291	79
number	84	0
use	278	47
item	27	22
second	0	3
again	44	35
morning	66	0
use	278	0
point	10	9
find	122	0
you	682	0
what	124	6
irregular	1	0
rrb	335	0
rrb	335	0
sec	0	2
for	807	118
clock	1098	446
full	6	2
this	845	0
something	41	1
big	48	18
great	204	0
with	392	0
the	3144	597
the	3144	1665
rrb	335	21
anyway	8	6
hardly	3	3
have	946	0
clock	1098	0
fold	24	0
with	392	51
the	3144	1253
you	682	0
buy	167	65
without	52	0
reset	31	0
hate	8	0
for	807	77
very	273	0
near	7	0
light	263	0
tiny	11	3
when	235	0
same	34	6
great	204	26
fantastic	13	0
alarm	830	284
